Prototype,Vintage,Object Class_1,Object Name_1.1,Schedule_Name,Design_Level,Unit,Control_Option,End_Use_Subcategory_1.1,Object Class_2,Object Name_2.1,Fuel_Use_Type,Schedule_Name,Design_Level,Unit,End_Use_Subcategory_2.1,Object Class_3,Object Name_3.1,Tank_Volume,Unit,Setpoint_temperature_Schedule_Name,Heater_Maximum_Capacity,Unit,Ambient_temperature_Indicator,Ambient_temperature_Schedule_Name,Off_On_Cycle_Loss_Coefficient_to_Ambient_Temperature,Unit,End_Use_Subcategory_3.1
SchoolK8,V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_SchoolK8,SchoolK8ExtLightingMotionCtrl,717.6423325301205,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_SchoolK8,Electricity,SchoolK8Elevator,60000,W,Elevators,WATERHEATER:MIXED,NonResBaseElecWaterHeater,141.21652319999998,gal,SHWSystemSetpointTemp135,141414.22633247997,Btu/hr,Schedule,WaterHeaterAmbientTemp,5.7226089492,Btu/hr-F,ElecWaterHeater
SchoolK8,NC,EXTERIOR:LIGHTS,ExtLights_Motion_SchoolK8,SchoolK8ExtLightingMotionCtrl,717.6423325301205,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_SchoolK8,Electricity,SchoolK8Elevator,60000,W,Elevators,WATERHEATER:MIXED,NonResBaseHPWHWaterHeater,141.21652319999998,gal,SHWSystemSetpointTemp135,141414.22633247997,Btu/hr,Schedule,WaterHeaterAmbientTemp,5.7226089492,Btu/hr-F,HPWHWaterHeater
SchoolK8,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_SchoolK8,SchoolK8ExtLightingNonMotionCtrl,9012.841552000002,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
SchoolLarge,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_SchoolLarge,SchoolLargeExtLightingNonMotionCtrl,8911.399433999999,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
SchoolLarge,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_SchoolLarge,SchoolLargeExtLightingMotionCtrl,2296.193146987952,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_SchoolLarge,Electricity,SchoolLargeElevator,11793.11,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,526.5104408533333,gal,SHWSystemSetpointTemp135,523627.2696792204,Btu/hr,Schedule,WaterHeaterAmbientTemp,49.88369096182688,Btu/hr-F,GasWaterHeater
SchoolRelocatable,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_SchoolRelocatable,SchoolRelocatableExtLightingNonMotionCtrl,307.8720665000001,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
SchoolRelocatable,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_SchoolRelocatable,SchoolRelocatableExtLightingMotionCtrl,200,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_SchoolRelocatable,Electricity,SchoolRelocatableElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseElecWaterHeater,2.0,gal,SHWSystemSetpointTemp135,19890.48,Btu/hr,Schedule,WaterHeaterAmbientTemp,0.0,Btu/hr-F,ElecWaterHeater
OfficeLarge,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_OfficeLarge,OfficeLargeExtLightingMotionCtrl,15940.130762692303,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_OfficeLarge,Electricity,OfficeLargeElevator,140657.19,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,183,gal,SHWSystemSetpointTemp135,181687.3470515914,Btu/hr,Schedule,WaterHeaterAmbientTemp,26.05792497352451,Btu/hr-F,GasWaterHeater
OfficeLarge,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_OfficeLarge,OfficeLargeExtLightingNonMotionCtrl,1548.958645,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
OfficeMedium,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_OfficeMedium,OfficeMediumExtLightingMotionCtrl,1860.2953735248002,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_OfficeMedium,Electricity,OfficeMediumElevator,13930,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,50,gal,SHWSystemSetpointTemp135,49726.19999999999,Btu/hr,Schedule,WaterHeaterAmbientTemp,12.58109774713533,Btu/hr-F,GasWaterHeater
OfficeMedium,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_OfficeMedium,OfficeMediumExtLightingNonMotionCtrl,856.2396961008999,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
OfficeSmall,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_OfficeSmall,OfficeSmallExtLightingNonMotionCtrl,155.151445787,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
OfficeSmall,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_OfficeSmall,OfficeSmallExtLightingMotionCtrl,382.26278846400004,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_OfficeSmall,Electricity,OfficeSmallElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,50,gal,SHWSystemSetpointTemp135,49726.19999999999,Btu/hr,Schedule,WaterHeaterAmbientTemp,12.58109774713533,Btu/hr-F,GasWaterHeater
